Phone Number,Message,Received,Spam
BP-KASHKV ,Received,"Diwali Dhamakha Offer for Investors & Business
Visit Now & Get Spot Booking Benefits @ Ambernath
Industrial Gala Starting @ 0000L* 
Call now  0000 
KASHKV",1
BP-KHSKPL ,Received,"Dear Parent Your Letter for joining is passed in our company . Can get 0000,0000/Day. https://wa.me/0000 KranthiHighSchool",1
BP-LEODEV ,Received,"A chance to fulfill your destiny Special Spot offers for Weekend 0000&0000 BHK @0000.0000 Cr+ Passcode Destini BKC, Bandra (E) By Leo Builders Flexi pay plan 0000",1
BP-LNTFPL ,Received,"Dear Customer, get a Digital Personal Loan today from L&T Finance.No income proof required.Click here http://acl.cc/n0000mWj0000pA to apply now.",1
BP-LNTFPL ,Received,"Dear Sandipan, Apply for an Instant pre-approved personal loan upto Rs. 0000 lakh with L&T Finance. Click here http://acl.cc/0000YJ0000eYWg",1
BP-MSOLNU ,Received,Dear 0000 Unlocked Your Second Income Earn Rs.0000/Month With Free Demat & Trading A/c Open A/c Now at.est0000.in/d0000kmQQd MFAPLY,1
BP-MYFREO ,Received,"Hi Sandipan congrats! Unlock ultimate savings with a Freo Save account & get access to a Rs.0000 lakhs credit line. Get it here https://u0000.mnge.co/mxPjr0000p
",1
BP-NOBRKR ,Received,"Hi Sandipan, 
Your shortlisted property in Dombivli East is rented out. Here is the link for similar properties: http://nobr.kr/sv/Tytr0000. 
NoBroker",1
BP-NTEAST ,Received,"PRESENTING !!!
THE OPPORTUINITY GATEWAY
VL 0000East
Growth Offices Start @Rs.0000L*
@AndheriE

vp0000.in/l0000v0000uwy

Call: 0000",1
BP-PARIYA ,Received,"We will help you to find and connect with person like U.
To add fun & joy
Call -0000
ARGHYA",1
BP-PayZap ,Received,ALERT! Your KYC is pending. Please complete the same to enjoy all PayZapp benefits.,0
BP-PHEASY ,Received,"Your Pharmeasy order M0000 is out for delivery and will be delivered by Sailesh Prakash Vishwakarma (call 0000-0000, PIN 0000) between 0000:0000 AM - 0000:0000 PM. Track here https://peasy.in/k0000UNCg",0
BP-PHEASY ,Received,"Hi Sandipan Dutta, successful payment of Rs. 0000.0000  has been received for your PharmEasy diagnostic order D0000.",0
BP-PHEASY ,Received,"For your PharmEasy diagnostics order 0000, please be ready to give BLOOD & URINE samples. Request you to not make the technician wait for more than 0000 mins",0
BP-PHEASY ,Received,"Hi Sandipan Dutta,
This is an important information from PharmEasy Labs regarding your sample collection. 
Our technician SUHAS SITARAM VADAYE +0000 will come to collect the sample between 0000-0000-0000 0000:0000 AM-0000:0000 AM.",0
BP-PHEASY ,Received,PharmEasy technician SUHAS SITARAM VADAYE (0000) has arrived at your location to collect your lab test samples,0
BP-PHEASY ,Received,"IMPORTANT! Hi ..,Your PharmEasy Plus membership has expired! You have saved an additional Rs.0000 with Plus. To continue saving more, renew your membership here : https://peasy.in/GEO0000H_",0
BP-PHRMSY ,Received,Introducing PharmEasy SurgiCare for your surgery needs. Get treatment from the best doctors and hospitals in your city. Book now: https://peasy.in/o0000C *TC PharmEasy,0
BP-PHRMSY ,Received,"Dear customer, book Comprehensive Full Body Checkup with Vit D & B0000 and get FLAT Rs.0000 OFF. Don't delay. Code DOR0000 Call 0000 or tap https://peasy.in/cOqYYX *TC PharmEasy",0
BP-RDMTCS ,Received,"Zone inat 
Earn Rs 0000-0000 per day easily, work online, no time limit, contact:https://wa.me/0000 Roadmatics",1
BP-REWRDG ,Received,"Dear RBL customer your credit card points worth INR 0000 will expire by tomorrow.kindly redeem your points in cash by click here https://rewardearn.in/
LIPIEXPT",1
BP-RMYCTY ,Received,"Runwal MyCity Independence offer- Book by paying 0000.0000L* & nothing till '0000 No bank loan or EMI reqd Own 0000BHK starting 0000.0000 L* AI Limited period offer
0000",1
BP-SAMSHP ,Received,<#> 0000 is your OTP to login to the Samsung Shop T0000InrJSnH0000U - Samsung.com,0
BP-SBICMP ,Received,"Dear customer, call our new toll-free no. 0000 or 0000 and get Account Bal, Last 0000 txn, Cheque Book Issue, Statement and many more services 0000x0000 - SBI",0
BP-SBIUPI ,Received,"Dear SBI User, your A/c X0000-debited by Rs0000.0000 on 0000Jun0000 transfer to SmakSlok Ref No 0000. If not done by u, fwd this SMS to 0000/Call 0000 or 0000 to block UPI -SBI",0
BP-SHAADI ,Received,"Hi! Renew your Shaadi.com membership to contact and chat with your matches. Click https://t.shaadi.com/O/IxubY to Renew. For any help, call us on +0000-0000.",1
BP-SHEESS ,Received,"   0000  0000  0000-0000%  - 0000
SSPL",1
BP-swiggy ,Received,Your payment for Swiggy order #0000 was not completed. Any amount if debited from UPI will get refunded within 0000-0000 days.,0
BP-swiggy ,Received,Refund of Rs 0000.0000 has been initiated for your Swiggy order 0000. Updated balance should reflect in 0000-0000 days. http://swig.gy/refunds,0
BP-swiggy ,Received,"Dear Swiggy customer, your refund reference number for refund of Rs 0000.0000 is 0000-0000-R0000 . http://swig.gy/refunds",0
BP-swiggy ,Received,Your Swiggy Instamart replacement order #0000 was delivered. We appreciate your patience. Thank you for ordering from Swiggy Instamart.,0
BP-THNDGT ,Received,"Bookings Open
Dosti Greater Thane

0000BHK@ Rs.0000,0000,0000 All in

Opp.Metro Stn
Majiwada@0000Min
0000 KM From Viviana Mall

Call  0000

Chat: https://wa.link/THNDGT",1
BP-THYCRE ,Received,"Dear User,
New Update,
Aarogyam Monsoon Basic @ 0000 for 0000 VIT-D,VIT-B0000,Lipid,LFT,KFT,TSH,HbA0000C Home Collection 0000 www.bookmytest.in
THYROQ",1
BP-TLODHA ,Received,"Book your Dream home at Pre-launch Price

Crown @Manpada,Dombivali

0000BHK@0000.0000L
0000BHK@0000.0000L

Opp Metro Station

Call 0000

Chat: https://wa.link/TEAMLODHA",1
BT-ADHAAR ,Received,"OTP for Aadhaar (XX0000) is 0000 (valid for 0000 mins). To update Aadhaar, Upload documents on myaadhaar.uidai.gov.in or visit Aadhaar Center. Call 0000 for info. -UIDAI",0
BT-CSAGRI ,Received,"DRIPTAPAKSACHAVANI
Hello sir, I m PUNAM,Please Call. 0000 To add dating meting",1
BT-LEMNSS ,Received,New Staff New Therapy Full B0000dy Msg By Nuro Swedish/Aroma Hot Shower Extra Sevce at VASHI Call 0000 0000 LS,1
BV-CBSSBI ,Received,"Your A/C XXXXX0000 has credit for 0000 ITD TAX REFUND AY of Rs 0000,0000.0000 on 0000/0000/0000. Avl Bal Rs 0000,0000.0000.-SBI",0
BV-CBSSBI ,Received,"Dear Customer, Your A/C XXXXX0000 has a debit by transfer of Rs 0000.0000 on 0000/0000/0000. Avl Bal Rs 0000,0000.0000.-SBI",0
BV-Hirect ,Received,"Dear , Your Hirect profile is substandard & you are missing out on high-paying jobs. Update your profile, click here api.whatsapp.com/send?phone=0000",1
BV-SBIINB ,Received,"Dear Customer, You have successfully changed your SBI Netbanking Login password on 0000/0000/0000 at 0000:0000 PM IST. Do not share with anyone. -SBI",0
BV-SBIPSG ,Received,"Dear Customer, INR 0000,0000.0000 credited to your A/c No XX0000 on 0000/0000/0000 through NEFT with UTR CITIN0000 by PAYPAL PAYMENTS PL-OPGSP COLL AC, INFO: P0000 Q0000GVYKGXAE0000NE       -AQEPD0000A-SBI",0
BW-ANASAM ,Received,"Dear Customers,your appointment is confirmed with female near your location. Call 0000 (Misti) or whtsp From: ANAS MOTORS PVT LTD.MOB",1
BX-BYJUEP ,Received,"Hi Aspirant, UGC NET Dec 0000 Result Out! Share now and win exciting rewards.
Click here www.gs.im/l/mLE0000KyANZ0000E
-BYJU'S Exam Prep",1
BX-CARSEL ,Received,"Dear Customer,
Sell your car before New Year to get the best price!
Book a free home inspection,
call
0000
or
visit
bit.ly/0000uDHe0000K
-CARS0000",1
BX-CBSSBI ,Received,"Your A/C XXXXX0000 has credit for Tx0000 0000 of Rs 0000.0000 on 0000/0000/0000. Avl Bal Rs 0000,0000.0000.-SBI",0
BX-NBHome ,Received,"Hi Sandipan Dutta, looking for affordable Packers & Movers? NoBroker offers you 0000 star services @ the lowest price! Hurry, Call now 0000",1
BX-OLDCAR ,Received,"Dear Customer, 
Sell your car for the best price on CARS0000.
Give a missed call on 
0000 
or 
visit 
bit.ly/0000uDHe0000K
to book a home inspection.
-CARS0000",1
BX-OLDCAR ,Received,"Dear Customer,
Sell your car on CARS0000 and get the best price for your car.
Give a missed call on
0000
or
book home inspection
bit.ly/0000uDHe0000K.
-CARS0000",1
BX-PHEASY ,Received,"Hi Sandipan, a free consultation has been scheduled for your Pharmeasy order M0000. A trusted doctor will call you by 0000:0000 PM to discuss your symptoms and consult regarding your health condition. Track your order here: https://peasy.in/k0000UNCg",0
BX-SBIINB ,Received,"Dear Customer, Your a/c no. XXXXXXXX0000 is credited by Rs.0000.0000 on 0000-0000-0000 by a/c linked to mobile 0000XXXXXX0000-APIBANKING (IMPS Ref no 0000).If not done by you, call 0000. -SBI",0
BX-SBIUPI ,Received,"Dear SBI User, your A/c X0000-debited by Rs0000.0000 on 0000Jun0000 transfer to SWIGGY Ref No 0000. If not done by u, fwd this SMS to 0000/Call 0000 or 0000 to block UPI -SBI",0
BZ-BBDALY ,Received,"Dear Customer, Get Rs.0000 cashback on min. recharge of Rs.0000 today on bbdaily. Valid till 0000th Aug 0000 & get cashback within 0000hours. gpsh.in/xzaQuQCDJot",1
BZ-CARSEL ,Received,"Dear Customer,
Selling your car has never been easier, 
Give a missed call on
0000
or
click
bit.ly/0000uDHe0000K 
to get the highest price of your car. 
-CARS0000",1
BZ-CARSEL ,Received,"Dear Customer, 
Sell your car from your door, 
Get high price, 
Give a missed call on 
0000 
or 
visit 
bit.ly/0000uDHe0000K 
for Home Inspection. 
-CARS0000",1
BZ-FLPKRT ,Received,"Dear Customer, Get Maintenance Services benefits Up to 0000 appliances  for 0000 Year at Flipkart for JUST Rs.0000!  Order Now

 http://fkrt.it/ULWPUquuuN",1
BZ-NBHome ,Received,"Hi Sandipan Dutta, Found a new house? Need it professionally cleaned? Get deep home cleaning at up to 0000% off with NoBroker! BOOK NOW: https://u0000.mnge.co/o0000m0000lrX",1
BZ-NOBRKR ,Received,"Hi Sandipan, 
Your shortlisted property in Thane West is rented out. Here is the link for similar properties: http://nobr.kr/sv/s0000dVL0000. 
NoBroker",1
BZ-PHEASY ,Received,Refund initiated for PharmEasy Order 0000. Rs 0000.0000 will be refunded to your PharmEasy wallet in 0000 hour. Team PharmEasy!,0
BZ-PHEASY ,Received,"Your PharmEasy diagnostic order 0000 has been placed and scheduled for home sample collection on 0000-0000-0000 between 0000:0000 AM-0000:0000 AM. Reports should be available by July 0000, 0000:0000 AM. Click https://peasy.in/track/yab0000JS to track your order.",0
BZ-PHEASY ,Received,"IMPORTANT! Hi ..,Your PharmEasy Plus membership will expire on 0000-0000-0000! You have saved an additional Rs.0000 with Plus.",0
BZ-PHEASY ,Received,Eligible refund of Rs 0000.0000 against your PharmEasy order 0000 has been successfully credited to your Card.,0
BZ-PHRMSY ,Received,PharmEasy Labs Offer! Book Advanced Full Body Test & get FLAT Rs.0000 Cashback. Code FIT0000. Call us at 0000 or click here https://peasy.in/nc0000qsf *TC PharmEasy,1
BZ-PHRMSY ,Received,PharmEasy Labs Special! Book a Full Body Test & get FLAT 0000% Cashback upto Rs.0000. Code PLUS0000. Call us at 0000 or click here https://peasy.in/gOZHxl *TC PharmEasy,1
BZ-PHRMSY ,Received,"Dear customer, SurPLUS Friday is LIVE. Renew your Plus membership today and get FLAT 0000% OFF. Code: OFFER0000 Renew now: https://peasy.in/aT0000JAx *TC PharmEasy",1
BZ-SBIABD ,Received,Register for Positive Pay System and provide cheque details to prevent cheque frauds. Please contact any branch or visit our website bank.sbi for details-SBI,1
BZ-SBICMP ,Received,"Dear Customer, A ITR REGISTERED ON YOUR PAN XXXX0000A FOR Rs 0000 FOR AY-0000-0000 CREDITED TO YOUR ACCOUNT XXXX0000 ON 0000-JUL-0000. -SBI",0
BZ-SBIINB ,Received,"Dear Customer, State Bank of India wishes you a Very Happy Birthday and a Great Year ahead!-SBI",0
BZ-SBIPSG ,Received,"Dear Customer, INR 0000,0000.0000 credited to your A/c No XX0000 on 0000/0000/0000 through NEFT with UTR AXMB0000 by SANDIPAN SANJIB DUTTA, INFO: -SBI",0
BZ-SBIUPI ,Received,"Dear SBI User, your A/c X0000-debited by Rs0000.0000 on 0000Jun0000 transfer to AMAZON PAY Ref No 0000. If not done by u, fwd this SMS to 0000/Call 0000 or 0000 to block UPI -SBI",0
BZ-SBIUPI ,Received,"Dear SBI User, your A/c X0000-debited by Rs0000.0000 on 0000Jun0000 transfer to Raghav corner Ref No 0000. If not done by u, fwd this SMS to 0000/Call 0000 or 0000 to block UPI -SBI",0
BZ-SBYONO ,Received,"Alert: Dear Customer, you have successfully set your MPIN for YONO SBI mobile banking app. If not done by you please call us on 0000.",0
BZ-SELNOW ,Received,"Hello Customer,
You can sell your car in 0000 hour from home.
Book CARS0000 home inspection give missed call@
0000
or
click
https://bit.ly/0000iX0000iKV
-CARS0000",1
BZ-SSBODS ,Received,"Dear you have passed our interview, wage is 0000 Rs/Day. Please contact to discuss detail: http://wa.me/0000 SSBO",1
CP-ACCITS ,Received,"Dear Logitech Customer, Logged Call LT/TTN/0000/R/0000 for your Product. Pl visit https://crmapps.accelits.com/LogitechCallStatus/Callstatus.aspx for further details. Thank you-Accelits",0
CP-ACCITS ,Received,"Dear Customer, Logitech product Recd. with LT/TTN/0000/R/0000 is now ready. Pls collect the replacement product. Thanks-ACCELITS",0
CP-ADHGRP ,Received,Join the rush at the city's biggest celebration in TOI tmrw Large 0000&0000Bed@0000.0000L+Pay 0000%StampDuty The Mainland by Adhiraj XR0000 0000 ADHGRP,1
CP-ADHGRP ,Received,Presenting THE SPLASH SALE The Mainland by Adhiraj Furnshd 0000&0000 BHKs 0000L+ 0000 months EMI Holidy Nr Sec-0000 Kharghar Metro 0000 XR0000bit.ly/0000IZcyCR ADHGRP,1
CP-ADSDSA ,Received,"Dear Customer, Congratulations! You are Eligible! Complete Details to get Life Time Free IDFC Credit Card  with Limit Upto 0000 Lac. r0000t.in/0000/d ADSMANIA",1
CP-AJMRIL ,Received,"Premium Office Space@0000L+ Get assured benefits upto 0000 Lacs Only for next 0000 bookings 0000:0000 PayPlan Ajmera ICRC, Ghatkopar(W) 0000 RERARg",1
CP-AJMRKL ,Received,"""Launching
Codename Millennium Star
@OneKalyan
Pinnacle 0000&0000 Bed Deck Homes @0000L+
0000:0000 Easy pay plan
Unhindered views
AJMERA
RERAReg
bit.ly/0000SOAFIh
XR0000",1
CP-AJMRKL ,Received,"Back on public demand!
#TheFinalTower
XL 0000&0000 Bed Deck Homes starting  0000.0000L+
0000:0000PayPlan
GrandFinale
 OneKalyan
AJMERA
RERAReg
0000 XR0000",1
CP-AJMRKL ,Received,Launching Final Tower OneKalyan Ajmera XL0000&0000 Bed Deck Homes starting 0000.0000L+ Rewards upto 0000Lac before 0000-Dec 0000:0000PayPlan RERAReg 0000/ Vgl.one/AKxWVo0000IQ ,1
CP-AJMRKL ,Received,"Back on public demand!
#TheFinalTower
XL 0000&0000 Bed Deck Homes starting @0000.0000L+
0000:0000PayPlan
GrandFinale
@OneKalyan
AJMERA
RERAReg
XR0000 0000",1
CP-AJMRKL ,Received,"Launching
#TheFinalTower
XL 0000&0000 Bed Deck Homes starting @0000.0000L+
0000:0000 PayPlan
Grand Finale
@OneKalyan
AJMERA
RERAReg
XR0000
0000",1
CP-AJMRKL ,Received,"Launching
#TheFinalTower
XL 0000&0000 Bed Deck Homes starting @0000.0000L+
0000:0000 PayPlan
Grand Finale
@OneKalyan
AJMERA
RERAReg",1
CP-AJMRKL ,Received,"YearEndBonanza#TheFinalTower
@OneKalyanAJMERA
XL0000&0000 Bed Deck Homes@0000.0000L+
Modular Kitchen worth 0000 Lac
0000:0000Plan
RERAReg {0000 / Vgl.one/A0000EwxvEvs }",1
CP-AKIKOG ,Received,"You are pre-qualified for I.D.F.C Lifetime FREE Card. Get Instant Limit & Interest Free Cash withdrawal. Apply
https://bit.ly/0000adufSa AKIKOG",1
CP-AKIKOG ,Received,"Apply for Lifetime IDFC First Credit Card, Get instant limit Upto 0000 lakh, Interest free Cash, GET NOW https://idfcfir.st/0000c0000 AKIKOG
",1
CP-AKIKOG ,Received,"Only for Few days LIFETIME AXIS My Zone Credit Card, Free Sony Liv Rs 0000, 0000% Discount on Swiggy, Get Now https://click.thecards.in/ AKIKOG",1
CP-AKIKOG ,Received,Get complimentary Premium economy ticket on joining & earn 0000 CV points with AXIS VISTARA SIGNATURE Credit Card Apply Now https://click.thecards.in/ AKIKOG,1
CP-AKIKOG ,Received,AXIS-BANK Air Vistara Credit-Card complimentary Air ticket on joining & Upto-0000-Airtickets Every Year Access Free Lounge GET https://click.thecards.in/ AKIKOG,1
CP-AKIKOG ,Received,"IDFC FIRST Lifetime Free Credit Card,0000% Cash withdrawal Zero Interest till 0000 Days, Rs 0000 off on first Transaction.Get https://ccclick.thecards.in/ akiko",1
CP-AKIKOG ,Received,Congratulation! You are eligible for a Yes Bank Credit Card with limit upto 0000 Lakhs.T&C Applied. Apply Now through No income document option yes.ccfin.in AKIKO,1
CP-ATHOUS ,Received,"BOOK YOUR DREAM HOME at The Iconic Towers by Adhiraj 
OC APPLIED Grand 0000 BHK: 0000.0000Cr+ MOVE IN & PAY LATER* 
Nr Sec-0000 Kharghar Metro 
0000
INYRD",1
CP-axioFS ,Received,Your Pay Later verification OTP is 0000. The code will be valid for 0000 minutes. Please DO NOT share this OTP with anyone -axio,0
CP-axioFS ,Received,Thank you for availing credit of Rs.0000.0000 using Pay Later. Click https://u.axio.co/w0000GKpGm0000PSfA for detailed information - axio,0
CP-axioFS ,Received,"Hi Sandipan Sanjib Dutta, Your Pay Later bill of Rs. 0000 is generated for DEC'0000 purchases. Bill amount will be debited on due date 0000-Jan. Please keep sufficient funds in bank a/c. Ignore if already paid. -axio",0
CP-axioFS ,Received,UPDATE! Late payments done post 0000th March '0000 will incur revised late fees for your Pay Later account. For Details https://axio.co.in/soc-doc.pdf -axio,0
CP-AxisBk ,Received,0000 is SECRET OTP for txn of USD 0000.0000 on Axis Bank card XX0000 at Youzu Sing on 0000-0000-0000 0000:0000:0000. OTP valid for 0000 mins. Please do not share this OTP.,0
CP-AXISBK ,Received,"Spent
Card no. XX0000
INR 0000.0000
0000-0000-0000 0000:0000:0000
PAYU MONEY
Avl Lmt INR 0000.0000
SMS BLOCK 0000 to 0000, if not you - Axis Bank",0
CP-AXISBK ,Received,"Spent
Card no. XX0000
INR 0000.0000
0000-0000-0000 0000:0000:0000
DREAMPLUG T
Avl Lmt INR 0000.0000
SMS BLOCK 0000 to 0000, if not you - Axis Bank",0
CP-BIGBKT ,Received,"Dear bigbasketeer, Oil & Ghee range at Lowest Price on bb Supersaver! Save a min of Rs.0000 on your order. Update the bigbasket app to use Supersaver. https://u0000.mnge.co/0000R0000o0000GB",1
CP-BIGBKT ,Received,"Dear bigbasketeer, Sona Masoori, Basmati, Idli Rice, Poha are priced lowest in the market. Save a min of Rs.0000 on your order. Update the bigbasket app to use Supersaver.https://u0000.mnge.co/oL0000wWpN",1
CP-BIGBKT ,Received,"Dear bigbasketeer, it's your lucky day! Save Min. Rs.0000 on 0000+ products inside on bigbasket Supersaver. Update the app to use Supersaver on bigbasket. Shop now https://u0000.mnge.co/nwonzJY",1
CP-BirlaV ,Received,"Hurry up!
Last 0000 days to avail festive offers & 0000:0000 payment plan at Birla Vanya, Kalyan
Visit Birla Vanya, Kalyan Now!
0000 BHK: 0000 lacs*
RERA:P0000 
Call 0000

Rgds Birla Vanya",1
CP-BLJSRI ,Received,"Congratulation! You are eligible for a AU BANK Credit Card with limit upto 0000 Lakhs.T&C Applied. Apply Now v.db0000.in/aw0000OzE SBJ
",1
CP-BOBSMS ,Received,Important: Our UPI Services will be unavailable from 0000:0000 AM to 0000:0000 AM on 0000-Dec-0000 due to System Upgrade activity. We regret the inconvenience caused -BOB,0
CP-BROKRR ,Received,"Sell or Rent your house
with one call on
BROKER NETWORK
Free listing
Genuine Buyers
India's largest Broker Network
Call:
0000",1
CP-BUYANT ,Received,Licence key for Kaspersky Internet Securi... is 0000AUPC-BWXP0000-MJG0000-0000U Thanks for purchasing with buyantiviruskey.com,0
CP-CARSEL ,Received,"Hello Sir, looking to sell your car? Book a home inspection. Give a missed call CARS0000 on 0000 or click  https://bit.ly/0000IPXCW0000 -CARS0000",1
CP-CARSGR ,Received,"Dear 0000,
sell your car for a great price.
Give a missed call 0000
and get paid instantly.
Visit alsc.in/0000jrcuv to book home inspection
-CARS0000",1
CP-CARSGR ,Received,"Dear 0000,
sell your car for a great price.
Give a missed call 0000
and get paid instantly.
Visit alsc.in/0000ktc0000z to book home inspection
-CARS0000",1
CP-CARSIN ,Received,"Dear Customer, Now sell car from home & get free RC transfer. Give a missed call on 0000 or book inspection https://bit.ly/0000IPXCW0000 
. -CARS0000",1
CP-CARSIN ,Received,"Dear 0000,
book a CARS0000 home inspection and get the best price for your car.
Give a missed call on 0000
or
visit alsc.in/0000a0000nig .
-CARS0000",1
CP-CARSIN ,Received,"Dear 0000,
book a CARS0000 home inspection and get the best price for your car.
Give a missed call on 0000
or
visit alsc.in/0000a0000lw .
-CARS0000",1
CP-CARTFK ,Received,"Dear Customer,
Call
0000
if you want an amazing deal for your car! Book inspection@
bit.ly/0000Wxv0000zu
-CARS0000",1
CP-CARTFP ,Received,"Dear 0000,
Imagine selling your car from home,
Get best price & FREE RC Transfer with CARS0000!
Give MissCall 0000
or
head to alsc.in/0000cp0000
-CARS0000",1
CP-CARTFP ,Received,"Dear Customer,
Book a CARS0000 home inspection to sell your car easily!
Give missed call @
0000
or
click
https://bit.ly/0000iX0000iKV
-CARS0000",1
CP-CDKRES ,Received,"Chandak launches Codename Nostalgia
Luxury homes with balconies, and 0000+ amenities at Malad (W)
Starting 0000.0000cr++
Call 0000
Click 0000",1
CP-DIGIMM ,Received,"Large 0000/0000/0000BHK start @ 0000.0000Cr All in

Fully Loaded Amenities
Nearing Possession
ISKON TEMPLE

Piramal Realty-Thane
Call 0000

Chat wa.link/piramal

DIGIMM",1
CP-DLHVRY ,Received,Your JIOMART0000P SURFACE package with AWB 0000 will be delivered today. Please share OTP 0000 with the delivery agent. - Delhivery,0
CP-DLHVRY ,Received,"0000 is OTP for JIOMART0000P SURFACE(Eatyumm Dry Fresh and Kh), AWB(0000).Share when agent is at your premise.Track here: bit.ly/0000AVGYUz -Delhivery",0
CP-DLHVRY ,Received,"0000 is OTP for JIOMART0000P SURFACE(Marwar Aam Papad Moist P), AWB(0000).Share when agent is at your premise.Track here: bit.ly/0000AVGYUz -Delhivery",0
CP-DMBVLI ,Received,"Lifestyle Homes by India's No.0000 Developer @Manpada, Dombivali

0000BHK@ 0000.0000L
0000BHK@ 0000.0000L

Just 0000 Min from Station

Call 0000

Chat: https://wa.link/DMBVLI",1
CP-DOMINO ,Received,<#>Your Domino's login OTP is 0000 @m.dominos.co.in #0000 CxLLAPJi0000h+,0
CP-DOMINO ,Received,Thanks for choosing Domino's.We will deliver your order hot & fresh in 0000 mins|Order no. 0000 |Amount:Rs. 0000.0000 |Track order@ https://bit.ly/0000C0000rv0000O,0
CP-DOSTYY ,Received,"Dosti Nest@ Thane W
0000 BHK@ Rs. 0000.0000L* onwards
0000.0000% Home Loan Interest
for 0000 Months/Pre-EMI Holiday
0000% SDR Charges
RERA Reg
*T&C Apply
Call: 0000
DOSTYY",1
CP-drsdil ,Received,"Thanks for Choosing Agarwal Packers, DRS Group.U will receive a call shortly.Download App Android https://goo.gl/lfUX0000f IOS: https://goo.gl/dxoc0000R ph:0000",0
CP-Drtspl ,Received,DrtsplI am a H.R . We are hiring for part/full time task. Daily income:0000-0000Rs. Apply now:  pincode,1
CP-ELODHA ,Received,"Enjoy A HUGE DECK with lifetime unobstructed Creek Views

0000BHK 0000 CRPT  0000 Lacs
0000BHK 0000 CRPT  0000.0000 Cr
All In Price

Call 0000

Chat wa.link/Thane
ELODHA",1
CP-eTRNCS ,Received,Tata 0000MG Online Pharmacy Health Partner Bumper Sales Get upto 0000% on All RX Medicine COD Fast Delivery eTRNCS Call 0000 v.db0000.in/0000K0000wYZ,1
CP-EUREKA ,Received,"Dear Customer, Please share this Satisfaction code 0000 with our Service Engineer once your request no WO-0000-0000 is attended. EurekaForbes",0
CP-FINONE ,Received,"Dear Customer, Apply for lifetime free IDFC FIRST Bank Credit Card to get never expiring 0000X Reward Points & much more. Apply now v.db0000.in/bG0000lgM TCA Green",1
CP-GLAKES ,Received,"Dear Learner, Have you missed filling in the Great Lakes PGDM (Online) application form? Do it now. Click here weurl.co/RtwEmK rjctdlast0000days
-Great Lakes",1
CP-GLAKES ,Received,"Dear Learner, Have you missed filling in the Great Lakes PGDM (Online) application form? Do it now. Click here weurl.co/0000tc0000M0000
-Great Lakes",1
CP-GLEARN ,Received,"Dear Candidate, The Application Deadline for Great Lakes PG Program in Management for Executives is today. Apply Now: weurl.co/ctnAhR
Great Learning",1
CP-GLEARN ,Received,"Dear Candidate, Join us for the Admission Webinar on ""PGDM (online) for Aspiring Business Leaders"" with Sandy Rajput, Admission Team, Great Lakes on 0000th May'0000 at 0000:0000 PM Register now: weurl.co/dtUZ0000i
Great Lakes",1
CP-GLEARN ,Received,"Dear Candidate, Join us for the Admission Webinar on ""PGDM (online) for Aspiring Business Leaders"" with Sandy Rajput, Admission Team, Great Lakes on 0000th May'0000 at 0000:0000 PM Register now: weurl.co/gtg0000vv
Great Lakes",1
CP-GLEARN ,Received,"0000 mins left for webinar, ""PGDM (online) for Aspiring Business Leaders"", to start. Join us live at 0000:0000 PM today. Dedicated Q&A round. Link to join: weurl.co/itOrVI
Great Lakes",1
CP-GLEARN ,Received,"Dear Candidate, The Application Deadline for Great Lakes PG Program in Management for Executives is today. Apply Now: weurl.co/ltJVH0000
Great Learning",1
CP-GLEARN ,Received,"Dear Candidate, Join us for the Live Masterclass on ""Building Brand Reputation through Digital Marketing"" with Akram Ali, Mentor & Trainer - Marketing on 0000th May'0000 at 0000:0000 PM Register now: weurl.co/tt0000TRG
Great Lakes",1
CP-GLEARN ,Received,"Dear Candidate, Join us for the Live Masterclass on ""Building Brand Reputation through Digital Marketing"" with Akram Ali, Mentor & Trainer - Marketing on 0000th May'0000 at 0000:0000 PM Register now: weurl.co/ut0000Hg
Great Lakes",1
CP-GLEARN ,Received,"Dear Candidate, The Application Deadline for Great Lakes PG Program in Management for Executives is today. Apply Now: weurl.co/wtI0000n
Great Learning",1
CP-GLEARN ,Received,"Dear Candidate, Join us for the Live Masterclass on ""Building Brand Reputation through Digital Marketing"" with Akram Ali, Mentor & Trainer - Marketing on 0000th May'0000 at 0000:0000 PM Register now: weurl.co/ythesb
Great Lakes",1
CP-GLEARN ,Received,"0000 mins left for webinar, ""Building Brand Reputation through Digital Marketing"", to start. Join us live at 0000:0000 PM today. Dedicated Q&A round. Link to join: weurl.co/ytOObq
Great Lakes",1
CP-GLEARN ,Received,"Dear Candidate, The Application Deadline for Great Lakes PG Program in Management for Executives is today. Apply Now: weurl.co/GtxhX0000
Great Learning",1
CP-GLEARN ,Received,"Dear Candidate, Join us for the Admission Webinar on ""Unlock Opportunities: Q&A on PGDM (online) Program"" with Nitin Arora, Admission Team, Great Lakes on 0000th June'0000 at 0000:0000 PM Register now: weurl.co/WtKLk0000
Great Lakes",1
CP-GLEARN ,Received,"Dear Candidate, Join us for the Admission Webinar on ""Unlock Opportunities: Q&A on PGDM (online) Program"" with Nitin Arora, Admission Team, Great Lakes on 0000th June'0000 at 0000:0000 PM Register now: weurl.co/XtS0000VQ
Great Lakes",1
